ID,University_Rating,University_Name,GRE,TOEFL,CGPA,Work_Ex,Chances Of Admit
0,3,Arizona State University,314,106,7.63,6,87
1,3,Arizona State University,307,109,5.7,1,73
2,3,Arizona State University,290,106,7,48,68
3,3,Arizona State University,306,90,8.2,24,84
4,3,Arizona State University,310,100,8.96,2,85
5,3,Arizona State University,309,88,7.69,16,80
6,3,Arizona State University,310,103,7.5,29,80
7,3,Arizona State University,301,86,6.023,26,60
8,3,Arizona State University,305,89,8.86,17,70
9,3,Arizona State University,312,115,6.8,33,82
10,3,Arizona State University,322,110,7.6,0,90
11,3,Arizona State University,319,100,6.74,28,83
12,3,Arizona State University,305,88,5.27,0,60
13,3,Arizona State University,307,87,6.5,27,65
14,3,Arizona State University,306,92,6.6,36,67
15,3,Arizona State University,320,100,6.3,0,80
16,3,Arizona State University,315,104,7.2,3,88
17,3,Arizona State University,301,88,7.512,60,70
18,3,Arizona State University,311,98,7.74,25,81
19,3,Arizona State University,312,110,8.6,24,86.5
20,3,Arizona State University,307,103,8,34,86.5
21,3,Arizona State University,321,102,7.5,12,91
22,3,Arizona State University,306,99,6.9,0,64
23,3,Arizona State University,310,110,7.49,0,80.5
24,3,Arizona State University,310,101,6.1,22,78.5
25,3,Arizona State University,306,103,5.817,27,72.25
26,3,Arizona State University,305,91,5.9,15,60
27,3,Arizona State University,299,88,7.8,30,60
28,3,Arizona State University,314,91,7.93,16,74.5
29,3,Arizona State University,305,106,8.2,31,86.5
30,3,Arizona State University,318,111,6.68,6,85
31,3,Arizona State University,307,88,6.9,15,60
32,3,Arizona State University,308,84,6.35,43,60
33,3,Arizona State University,301,91,6.3,21,60
34,3,Arizona State University,298,88,5.243,6,60
35,3,Arizona State University,310,96,6.368,41,86.5
36,3,Arizona State University,312,105,7.55,27,86.5
37,3,Arizona State University,301,88,8.6,55,65
38,3,Arizona State University,303,90,6.2,14,60
39,3,Arizona State University,308,84,6.394,43,60
40,3,Arizona State University,305,98,4.863,18,60
41,3,Arizona State University,308,102,7.09,0,82.25
42,3,Arizona State University,302,98,8.4,41,69
43,3,Arizona State University,309,88,6.03,28,60
44,3,Arizona State University,303,89,6,15,60
45,3,Arizona State University,316,107,7.16,6,87
46,3,Arizona State University,302,92,6.61,35,60
47,3,Arizona State University,311,101,7.72,18,86.5
48,3,Arizona State University,308,86,8.1,14,61
49,3,Arizona State University,299,97,5.4,12,60
50,3,Arizona State University,310,100,8.98,35,88
51,3,Arizona State University,320,86,7.77,9,86.5
52,3,Arizona State University,306,102,6,26,78.5
53,3,Arizona State University,315,112,8.3,12,93
54,4,Boston University,313,101,6.8,30,84.5
55,4,Boston University,305,91,5.93,0,74
56,4,Boston University,336,107,6,30,90
57,4,Boston University,325,99,5,0,84.35
58,4,Boston University,305,103,7.6,0,76
59,4,Boston University,307,80,7.6,0,70
60,4,Boston University,299,106,7.3,0,66
61,4,Boston University,313,101,6.864,0,70
62,4,Boston University,301,98,6.35,10,64
63,4,Boston University,296,90,5.67,8,62.5
64,4,Boston University,316,106,6.75,5,85.5
65,4,Boston University,310,112,6.73,22,86
66,4,Boston University,310,97,5.1,82,83.25
67,4,Boston University,300,97,6.085,6,64
68,4,Boston University,315,99,6.842,26,86.5
69,4,Boston University,298,88,4.8,20,57.5
70,4,Boston University,309,108,7.5,10,80
71,4,Boston University,310,92,5.5,0,70
72,4,Boston University,303,103,9,2,86.25
73,4,Boston University,302,100,6.6,0,80
74,4,Boston University,308,100,6.47,38,84.75
75,4,Boston University,287,87,8.8,18,55
76,4,Boston University,310,110,7.49,0,87.5
77,4,Boston University,296,100,6.2,41,60
78,4,Boston University,306,98,6.698,48,65
79,4,Boston University,297,84,7.3,44,63
80,4,Boston University,290,91,7.3,48,62
81,5,Carnegie Mellon University,312,110,9.09,16,80.75
82,5,Carnegie Mellon University,311,102,6.9,85,76
83,5,Carnegie Mellon University,320,104,6,60,76
84,5,Carnegie Mellon University,307,103,8,34,80.25
85,5,Carnegie Mellon University,324,113,7.304,5,83.25
86,5,Carnegie Mellon University,300,103,9,30,80.75
87,5,Carnegie Mellon University,324,110,5.858,16,70
88,5,Carnegie Mellon University,319,111,9.6,6,80.75
89,5,Carnegie Mellon University,318,106,6.7,60,76
90,5,Carnegie Mellon University,325,109,5.865,17,70
91,5,Carnegie Mellon University,315,101,9.81,0,80.75
92,5,Carnegie Mellon University,322,116,8.1,6,80.25
93,5,Carnegie Mellon University,306,93,6.8,0,73
94,5,Carnegie Mellon University,318,100,6.85,33,78
95,5,Carnegie Mellon University,296,91,6.7,20,40
96,5,Carnegie Mellon University,312,98,7.28,31,75.75
97,5,Carnegie Mellon University,321,105,8.3,0,80.25
98,5,Carnegie Mellon University,308,102,7.48,15,75.75
99,5,Carnegie Mellon University,315,108,7.83,8,75.75
100,5,Carnegie Mellon University,321,109,7.8,18,80.75
101,5,Carnegie Mellon University,310,107,7.39,14,75.75
102,5,Carnegie Mellon University,315,109,8.04,6,80.25
103,5,Carnegie Mellon University,315,110,8.6,3,83.25
104,5,Carnegie Mellon University,329,111,7,144,80.75
105,5,Carnegie Mellon University,316,112,7,44,55
106,5,Carnegie Mellon University,316,104,8.55,60,83.25
107,5,Carnegie Mellon University,317,100,8.57,16,80
108,5,Carnegie Mellon University,317,112,8.72,36,80.75
109,5,Carnegie Mellon University,314,108,6.15,24,50
110,5,Carnegie Mellon University,305,109,8.1,25,80.25
111,5,Carnegie Mellon University,314,109,7.2,38,75.75
112,5,Carnegie Mellon University,318,103,8.5,27,80.25
113,5,Carnegie Mellon University,320,111,7.98,30,80.75
114,5,Carnegie Mellon University,314,108,7.21,22,83.25
115,5,Carnegie Mellon University,330,116,8.19,0,80.25
116,5,Carnegie Mellon University,321,106,7.3,36,83.25
117,5,Carnegie Mellon University,321,109,7.6,18,83.25
118,5,Carnegie Mellon University,318,102,7.38,45,83.25
119,5,Carnegie Mellon University,319,98,8.045,7,80.25
120,5,Carnegie Mellon University,322,110,3.1,12,40
121,5,Carnegie Mellon University,324,106,7.8,33,83.25
122,5,Carnegie Mellon University,325,116,8.48,2,80.75
123,5,Carnegie Mellon University,315,109,6.72,29,50.25
124,5,Carnegie Mellon University,293,101,8.72,20,44
125,5,Carnegie Mellon University,321,108,5.822,21,71
126,5,Carnegie Mellon University,318,109,6.75,13,50.25
127,5,Carnegie Mellon University,309,100,6.03,28,50.25
128,5,Carnegie Mellon University,314,112,7.22,20,83.25
129,5,Carnegie Mellon University,330,107,9.23,15,80.75
130,5,Carnegie Mellon University,329,110,7.4,4,76
131,5,Carnegie Mellon University,317,106,6.84,82,50.25
132,5,Carnegie Mellon University,320,110,6.2,40,64
133,5,Carnegie Mellon University,319,104,7,36,78
134,5,Carnegie Mellon University,315,104,8.54,30,80
135,5,Carnegie Mellon University,326,105,5.8,28,73
136,5,Carnegie Mellon University,323,116,8.38,4,80.25
